hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0221,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ALEXANDRA MAERSK,85044083,SEK,327582.0
HVDC-ADOPT-HE-0222,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ALEXANDRA MAERSK,85044083,SEK,433859.0
HVDC-ADOPT-HE-0223,,HITACHI,SWEDEN,Copenhagen,Abu Dhabi Airport,EY,84198910,SEK,673158.6
HVDC-ADOPT-HE-0224,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY,85354000,SEK,246629.3
HVDC-ADOPT-HE-0225,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY,85354000,SEK,246629.3
HVDC-ADOPT-HE-0226,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC ILARIA,85354000,SEK,86921.49
HVDC-ADOPT-HE-0227,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC ILARIA,85354000,SEK,86921.49
HVDC-ADOPT-HE-0228,,HITACHI,NETHERLANDS,Amsterdam,Abu Dhabi Airport,EY,85354000,SEK,787028.7
HVDC-ADOPT-HE-0229,,HITACHI,NETHERLANDS,Amsterdam,Abu Dhabi Airport,EY,85354000,SEK,787028.6
HVDC-ADOPT-HE-0230,,HITACHI,NETHERLANDS,Amsterdam,Abu Dhabi Airport,EY,85354000,SEK,220295.9
HVDC-ADOPT-HE-0231,,HITACHI,NETHERLANDS,Amsterdam,Abu Dhabi Airport,EY,85354000,SEK,220295.9
HVDC-ADOPT-HE-0232,,HITACHI,BRAZIL,Itagui,Mina Zayed,BBC MONT BLANC,85042300,SEK,2080000.0
HVDC-ADOPT-HE-0233,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MAERSK HAMBURG,85049017,SEK,700015.9
HVDC-ADOPT-HE-0234,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ALETTE MAERSK,85469090,SEK,338239.8
HVDC-ADOPT-HE-0236,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MAERSK HAMBURG,,SEK,438884.0
HVDC-ADOPT-HE-0237,,HITACHI,Estonia,Talinn,Abu Dhabi Airport,QR9705,85447700,SEK,652795.2
HVDC-ADOPT-HE-0238,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ARC COMMITMENT,84198910,SEK,945381.6
HVDC-ADOPT-HE-0239,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ARC COMMITMENT,84198910,SEK,1132184.0
HVDC-ADOPT-HE-0240,,HITACHI,BELGIUM,Antwerp,Khalifa port,HOEGH COPENHAGEN,84289090,SEK,959255.6
HVDC-ADOPT-HE-0241,,HITACHI,BELGIUM,Antwerp,Khalifa port,HOEGH COPENHAGEN,84289090,SEK,959255.6
HVDC-ADOPT-HE-0242,,HITACHI,BELGIUM,Antwerp,Khalifa port,HOEGH COPENHAGEN,84289090,SEK,959255.6
HVDC-ADOPT-HE-0243,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MATZ MAERSK,85049017,SEK,292000.0
HVDC-ADOPT-HE-0244,,HITACHI,SWEDEN,Malmoe,Abu Dhabi Airport,Emirates,84198910,SEK,133548.0
HVDC-ADOPT-HE-0245,,HITACHI,Italy,Venezia,Khalifa port,MSC RENEE,85353090,SEK,52874.14
HVDC-ADOPT-HE-0246,,HITACHI,Italy,Venezia,Khalifa port,MSC RENEE,85353090,EUR,52874.14
HVDC-ADOPT-HE-0247,,HITACHI,Italy,Venezia,Khalifa port,MSC RENEE,85353090,EUR,52874.14
HVDC-ADOPT-HE-0248,,HITACHI,Italy,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0249,,HITACHI,Italy,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0250,,HITACHI,Italy,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0251,,HITACHI,Estonia,Talinn,Abu Dhabi Airport,QR9705,85447700,SEK,326379.6
HVDC-ADOPT-HE-0252,,HITACHI,SWEDEN,Copenhagen,Abu Dhabi Airport,EK,85322900,SEK,22270.0
HVDC-ADOPT-HE-0253,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MATZ MAERSK,85469090,SEK,121921.7
HVDC-ADOPT-HE-0254,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MATZ MAERSK,85321000,SEK,250391.4
HVDC-ADOPT-HE-0255,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MATZ MAERSK,85321000,SEK,250391.4
